
Processing CalculateEfficincy.C...
Particle        :   Eff1  /   Eff2  /   Eff3  /  Ghost  / BackGr  / N Ghost / N BackGr / N Reco  / N Clone  |  N MC1  |  N MC2  |  N MC3 
LambdaN         :  0.375  / -1.000  /  0.497  /  0.000  /  0.000  /      0  /       0  /    291  /       1  |    775  |      0  |    586
LambdaN   Prim  :  0.375  / -1.000  /  0.497  /  0.000  /  0.000  /      0  /       0  /    291  /       1  |    775  |      0  |    586
LambdaN   Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
LambdaN b       :  0.379  / -1.000  /  0.503  /  0.000  /  0.000  /      0  /       0  /    296  /       0  |    780  |      0  |    589
LambdaN b Prim  :  0.379  / -1.000  /  0.503  /  0.000  /  0.000  /      0  /       0  /    296  /       0  |    780  |      0  |    589
LambdaN b Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
H3L             :  0.280  / -1.000  /  0.435  /  0.000  /  0.496  /      0  /     198  /    201  /       0  |    717  |      0  |    462
H3L       Prim  :  0.280  / -1.000  /  0.435  /  0.000  /  0.000  /      0  /       0  /    201  /       0  |    717  |      0  |    462
H3L       Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
H3L b           :  0.278  / -1.000  /  0.451  /  0.000  /  0.453  /      0  /     165  /    199  /       0  |    717  |      0  |    441
H3L b     Prim  :  0.278  / -1.000  /  0.451  /  0.000  /  0.000  /      0  /       0  /    199  /       0  |    717  |      0  |    441
H3L b     Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
H4L             :  0.270  / -1.000  /  0.453  /  0.000  /  0.521  /      0  /     190  /    175  /       1  |    648  |      0  |    386
H4L       Prim  :  0.270  / -1.000  /  0.453  /  0.000  /  0.000  /      0  /       0  /    175  /       1  |    648  |      0  |    386
H4L       Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
H4L b           :  0.321  / -1.000  /  0.498  /  0.003  /  0.456  /      1  /     171  /    203  /       1  |    633  |      0  |    408
H4L b     Prim  :  0.321  / -1.000  /  0.498  /  0.000  /  0.000  /      0  /       0  /    203  /       1  |    633  |      0  |    408
H4L b     Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
He4L            :  0.227  / -1.000  /  0.368  /  0.000  /  0.000  /      0  /       0  /    139  /       0  |    613  |      0  |    378
He4L      Prim  :  0.227  / -1.000  /  0.368  /  0.000  /  0.000  /      0  /       0  /    139  /       0  |    613  |      0  |    378
He4L      Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
He4L b          :  0.197  / -1.000  /  0.332  /  0.000  /  0.000  /      0  /       0  /    122  /       0  |    620  |      0  |    368
He4L b    Prim  :  0.197  / -1.000  /  0.332  /  0.000  /  0.000  /      0  /       0  /    122  /       0  |    620  |      0  |    368
He4L b    Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
He5L            :  0.230  / -1.000  /  0.391  /  0.000  /  0.000  /      0  /       0  /    131  /       0  |    570  |      0  |    335
He5L      Prim  :  0.230  / -1.000  /  0.391  /  0.000  /  0.000  /      0  /       0  /    131  /       0  |    570  |      0  |    335
He5L      Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
He5L b          :  0.199  / -1.000  /  0.331  /  0.000  /  0.000  /      0  /       0  /    115  /       0  |    577  |      0  |    347
He5L b    Prim  :  0.199  / -1.000  /  0.331  /  0.000  /  0.000  /      0  /       0  /    115  /       0  |    577  |      0  |    347
He5L b    Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
e-              :  0.138  / -1.000  /  0.994  /  0.000  /  0.000  /      0  /       0  /   2021  /      27  |  14642  |      0  |   2034
e-        Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
e-        Sec   :  0.138  / -1.000  /  0.994  /  0.000  /  0.000  /      0  /       0  /   2021  /      27  |  14642  |      0  |   2034
e+              :  0.471  / -1.000  /  0.996  /  0.000  /  0.000  /      0  /       0  /   2038  /      20  |   4327  |      0  |   2047
e+        Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
e+        Sec   :  0.471  / -1.000  /  0.996  /  0.000  /  0.000  /      0  /       0  /   2038  /      20  |   4327  |      0  |   2047
mu-             :  0.644  / -1.000  /  0.994  /  0.000  /  0.000  /      0  /       0  /   1929  /       1  |   2995  |      0  |   1941
mu-       Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
mu-       Sec   :  0.644  / -1.000  /  0.994  /  0.000  /  0.000  /      0  /       0  /   1929  /       1  |   2995  |      0  |   1941
mu+             :  0.627  / -1.000  /  0.994  /  0.000  /  0.000  /      0  /       0  /   1966  /       5  |   3136  |      0  |   1978
mu+       Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
mu+       Sec   :  0.627  / -1.000  /  0.994  /  0.000  /  0.000  /      0  /       0  /   1966  /       5  |   3136  |      0  |   1978
pi+             :  0.778  / -1.000  /  0.997  /  0.000  /  0.000  /      0  /       0  /  26625  /      67  |  34211  |      0  |  26703
pi+       Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
pi+       Sec   :  0.778  / -1.000  /  0.997  /  0.000  /  0.000  /      0  /       0  /  26625  /      67  |  34211  |      0  |  26703
pi-             :  0.768  / -1.000  /  0.997  /  0.000  /  0.000  /      0  /       0  /  28262  /      69  |  36790  |      0  |  28346
pi-       Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
pi-       Sec   :  0.768  / -1.000  /  0.997  /  0.000  /  0.000  /      0  /       0  /  28262  /      69  |  36790  |      0  |  28346
K+              :  0.887  / -1.000  /  0.999  /  0.000  /  0.000  /      0  /       0  /   9840  /      31  |  11091  |      0  |   9849
K+        Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
K+        Sec   :  0.887  / -1.000  /  0.999  /  0.000  /  0.000  /      0  /       0  /   9840  /      31  |  11091  |      0  |   9849
K-              :  0.887  / -1.000  /  0.999  /  0.000  /  0.000  /      0  /       0  /   9859  /      40  |  11119  |      0  |   9868
K-        Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
K-        Sec   :  0.887  / -1.000  /  0.999  /  0.000  /  0.000  /      0  /       0  /   9859  /      40  |  11119  |      0  |   9868
p+              :  0.650  / -1.000  /  0.995  /  0.000  /  0.000  /      0  /       0  /  10753  /      20  |  16538  |      0  |  10807
p+        Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
p+        Sec   :  0.650  / -1.000  /  0.995  /  0.000  /  0.000  /      0  /       0  /  10753  /      20  |  16538  |      0  |  10807
p-              :  0.844  / -1.000  /  0.996  /  0.000  /  0.000  /      0  /       0  /   8870  /      22  |  10512  |      0  |   8909
p-        Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
p-        Sec   :  0.844  / -1.000  /  0.996  /  0.000  /  0.000  /      0  /       0  /   8870  /      22  |  10512  |      0  |   8909
d+              :  0.403  / -1.000  /  0.997  /  0.000  /  0.000  /      0  /       0  /    733  /       4  |   1820  |      0  |    735
d+        Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
d+        Sec   :  0.403  / -1.000  /  0.997  /  0.000  /  0.000  /      0  /       0  /    733  /       4  |   1820  |      0  |    735
d-              :  0.908  / -1.000  /  0.999  /  0.000  /  0.000  /      0  /       0  /    728  /       0  |    802  |      0  |    729
d-        Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
d-        Sec   :  0.908  / -1.000  /  0.999  /  0.000  /  0.000  /      0  /       0  /    728  /       0  |    802  |      0  |    729
t+              :  0.006  / -1.000  /  1.000  /  0.000  /  0.000  /      0  /       0  /      3  /       0  |    504  |      0  |      3
t+        Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
t+        Sec   :  0.006  / -1.000  /  1.000  /  0.000  /  0.000  /      0  /       0  /      3  /       0  |    504  |      0  |      3
t-              : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
t-        Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
t-        Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
He3+            :  0.804  / -1.000  /  0.979  /  0.000  /  0.000  /      0  /       0  /   1184  /       7  |   1472  |      0  |   1210
He3+      Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
He3+      Sec   :  0.804  / -1.000  /  0.979  /  0.000  /  0.000  /      0  /       0  /   1184  /       7  |   1472  |      0  |   1210
He3-            :  0.788  / -1.000  /  0.981  /  0.000  /  0.000  /      0  /       0  /   1148  /       4  |   1457  |      0  |   1170
He3-      Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
He3-      Sec   :  0.788  / -1.000  /  0.981  /  0.000  /  0.000  /      0  /       0  /   1148  /       4  |   1457  |      0  |   1170
He4+            :  0.710  / -1.000  /  0.983  /  0.000  /  0.000  /      0  /       0  /   1057  /       5  |   1489  |      0  |   1075
He4+      Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
He4+      Sec   :  0.710  / -1.000  /  0.983  /  0.000  /  0.000  /      0  /       0  /   1057  /       5  |   1489  |      0  |   1075
He4-            :  0.772  / -1.000  /  0.978  /  0.000  /  0.000  /      0  /       0  /   1042  /       9  |   1350  |      0  |   1065
He4-      Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
He4-      Sec   :  0.772  / -1.000  /  0.978  /  0.000  /  0.000  /      0  /       0  /   1042  /       9  |   1350  |      0  |   1065
V0              :  0.458  / -1.000  /  0.674  /  0.000  /  0.000  /      5  /       0  /  25114  /    4978  |  54791  |      0  |  37285
V0        Prim  :  0.482  / -1.000  /  0.645  /  0.000  /  0.000  /      0  /       0  /  17139  /    4973  |  35522  |      0  |  26561
V0        Sec   :  0.414  / -1.000  /  0.744  /  0.000  /  0.000  /      0  /       0  /   7975  /       5  |  19269  |      0  |  10724
