
Processing CalculateEfficincy.C...
Particle        :   Eff1  /   Eff2  /   Eff3  /  Ghost  / BackGr  / N Ghost / N BackGr / N Reco  / N Clone  |  N MC1  |  N MC2  |  N MC3 
K*+       Prim  :  0.376  / -1.000  /  0.599  /  0.000  /  0.000  /      0  /       0  /    202  /       0  |    537  |      0  |    337
K*+       Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
K*-             :  0.352  / -1.000  /  0.575  /  0.000  /  0.474  /      0  /     166  /    184  /       0  |    523  |      0  |    320
K*-       Prim  :  0.352  / -1.000  /  0.575  /  0.000  /  0.000  /      0  /       0  /    184  /       0  |    523  |      0  |    320
K*-       Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
K*0_K0pi0       :  0.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      2  |      0  |      0
K*0_K0pi0 Prim  :  0.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      2  |      0  |      0
K*0_K0pi0 Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
K*+_K+pi0       :  0.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      2  |      0  |      0
K*+_K+pi0 Prim  :  0.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      2  |      0  |      0
K*+_K+pi0 Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
K*-_K-pi0       :  0.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      3  |      0  |      0
K*-_K-pi0 Prim  :  0.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      3  |      0  |      0
K*-_K-pi0 Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Sigma*+         :  0.359  / -1.000  /  0.545  /  0.222  /  0.000  /     50  /       0  /    175  /       0  |    487  |      0  |    321
Sigma*+   Prim  :  0.359  / -1.000  /  0.545  /  0.000  /  0.000  /      0  /       0  /    175  /       0  |    487  |      0  |    321
Sigma*+   Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Sigma*-         :  0.352  / -1.000  /  0.585  /  0.012  /  0.340  /      3  /      87  /    166  /       0  |    471  |      0  |    284
Sigma*-   Prim  :  0.352  / -1.000  /  0.585  /  0.000  /  0.000  /      0  /       0  /    166  /       0  |    471  |      0  |    284
Sigma*-   Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Sigma*+ b       :  0.321  / -1.000  /  0.540  /  0.000  /  0.265  /      0  /      58  /    161  /       0  |    501  |      0  |    298
Sigma*+ b Prim  :  0.321  / -1.000  /  0.540  /  0.000  /  0.000  /      0  /       0  /    161  /       0  |    501  |      0  |    298
Sigma*+ b Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Sigma*- b       :  0.346  / -1.000  /  0.590  /  0.198  /  0.000  /     39  /       0  /    158  /       2  |    457  |      0  |    268
Sigma*- b Prim  :  0.346  / -1.000  /  0.590  /  0.000  /  0.000  /      0  /       0  /    158  /       2  |    457  |      0  |    268
Sigma*- b Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Sigma*0         :  0.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      1  |      0  |      0
Sigma*0   Prim  :  0.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      1  |      0  |      0
Sigma*0   Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Sigma*0 b       : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Sigma*0 b Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Sigma*0 b Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Lambda*         :  0.667  / -1.000  /  0.818  /  0.056  /  0.474  /     65  /     548  /    544  /       0  |    815  |      0  |    665
Lambda*   Prim  :  0.667  / -1.000  /  0.818  /  0.000  /  0.000  /      0  /       0  /    544  /       0  |    815  |      0  |    665
Lambda*   Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Lambda* b       :  0.701  / -1.000  /  0.842  /  0.057  /  0.472  /     70  /     582  /    581  /       0  |    829  |      0  |    690
Lambda* b Prim  :  0.701  / -1.000  /  0.842  /  0.000  /  0.000  /      0  /       0  /    581  /       0  |    829  |      0  |    690
Lambda* b Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Xi*0            :  0.198  / -1.000  /  0.484  /  0.000  /  0.436  /      0  /      68  /     88  /       0  |    445  |      0  |    182
Xi*0      Prim  :  0.198  / -1.000  /  0.484  /  0.000  /  0.000  /      0  /       0  /     88  /       0  |    445  |      0  |    182
Xi*0      Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Xi*0 b          :  0.221  / -1.000  /  0.500  /  0.000  /  0.468  /      0  /      81  /     92  /       0  |    417  |      0  |    184
Xi*0 b    Prim  :  0.221  / -1.000  /  0.500  /  0.000  /  0.000  /      0  /       0  /     92  /       0  |    417  |      0  |    184
Xi*0 b    Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Xi*-_lk         :  0.351  / -1.000  /  0.597  /  0.112  /  0.098  /     24  /      21  /    169  /       1  |    482  |      0  |    283
Xi*-_lk   Prim  :  0.351  / -1.000  /  0.597  /  0.000  /  0.000  /      0  /       0  /    169  /       1  |    482  |      0  |    283
Xi*-_lk   Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Xi*+_lk         :  0.393  / -1.000  /  0.625  /  0.085  /  0.075  /     18  /      16  /    178  /       0  |    453  |      0  |    285
Xi*+_lk   Prim  :  0.393  / -1.000  /  0.625  /  0.000  /  0.000  /      0  /       0  /    178  /       0  |    453  |      0  |    285
Xi*+_lk   Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
