iDigi, layerId, moduleId, iSector, secCol, secRow, digiAddress
90064,6,4,2,30,1,503514213
90501,6,4,2,30,2,503645285
90662,6,4,1,30,3,503743589
91001,6,4,2,30,4,503907429
91154,6,4,2,30,5,504038501
91312,6,4,2,30,6,504169573
91460,6,4,2,30,7,504300645
92267,6,4,2,31,0,520160357
92926,6,4,2,31,1,520291429
93359,6,4,2,31,2,520422501
93512,6,4,1,31,3,520520805
93859,6,4,2,31,4,520684645
94013,6,4,2,31,5,520815717
94170,6,4,2,31,6,520946789
94322,6,4,2,31,7,521077861
95158,6,4,2,32,0,536937573
95833,6,4,2,32,1,537068645
96281,6,4,2,32,2,537199717
96446,6,4,1,32,3,537298021
96798,6,4,2,32,4,537461861
96948,6,4,2,32,5,537592933
97094,6,4,2,32,6,537724005
97236,6,4,2,32,7,537855077
98043,6,4,2,33,0,553714789
98711,6,4,2,33,1,553845861
99165,6,4,2,33,2,553976933
99758,6,4,0,33,5,554304613
99919,6,4,0,33,6,554435685
100074,6,4,0,33,7,554566757
100580,6,4,0,34,0,570426469
100758,6,4,1,34,0,570459237
101417,6,4,1,34,1,570590309
101946,6,4,1,34,2,570721381
102298,6,4,1,34,3,570852453
102720,6,4,0,34,5,571081829
102879,6,4,0,34,6,571212901
103030,6,4,0,34,7,571343973
103536,6,4,0,35,0,587203685
103720,6,4,1,35,0,587236453
104406,6,4,1,35,1,587367525
104951,6,4,1,35,2,587498597
105309,6,4,1,35,3,587629669
105680,6,4,2,35,4,587793509
105838,6,4,2,35,5,587924581
106000,6,4,2,35,6,588055653
106159,6,4,2,35,7,588186725
106774,6,4,1,36,0,604013669
107450,6,4,1,36,1,604144741
107984,6,4,1,36,2,604275813
108340,6,4,1,36,3,604406885
108706,6,4,2,36,4,604570725
108856,6,4,2,36,5,604701797
109008,6,4,2,36,6,604832869
109163,6,4,2,36,7,604963941
109756,6,4,1,37,0,620790885
110437,6,4,1,37,1,620921957
110986,6,4,1,37,2,621053029
111352,6,4,1,37,3,621184101
111715,6,4,2,37,4,621347941
111867,6,4,2,37,5,621479013
112019,6,4,2,37,6,621610085
112183,6,4,2,37,7,621741157
113063,6,4,2,38,0,637600869
113755,6,4,2,38,1,637731941
114037,6,4,1,38,2,637830245
114399,6,4,1,38,3,637961317
114762,6,4,2,38,4,638125157
114916,6,4,2,38,5,638256229
115072,6,4,2,38,6,638387301
115237,6,4,2,38,7,638518373
116101,6,4,2,39,0,654378085
116801,6,4,2,39,1,654509157
117082,6,4,1,39,2,654607461
117438,6,4,1,39,3,654738533
117802,6,4,2,39,4,654902373
117960,6,4,2,39,5,655033445
118111,6,4,2,39,6,655164517
118271,6,4,2,39,7,655295589
119121,6,4,2,40,0,671155301
119807,6,4,2,40,1,671286373
120080,6,4,1,40,2,671384677
120430,6,4,1,40,3,671515749
120802,6,4,2,40,4,671679589
120958,6,4,2,40,5,671810661
121102,6,4,2,40,6,671941733
121251,6,4,2,40,7,672072805
122076,6,4,2,41,0,687932517
122769,6,4,2,41,1,688063589
123226,6,4,2,41,2,688194661
123563,6,4,2,41,3,688325733
123745,6,4,2,41,4,688456805
123895,6,4,2,41,5,688587877
124034,6,4,2,41,6,688718949
124178,6,4,2,41,7,688850021
124983,6,4,2,42,0,704709733
125675,6,4,2,42,1,704840805
126135,6,4,2,42,2,704971877
126474,6,4,2,42,3,705102949
126660,6,4,2,42,4,705234021
126815,6,4,2,42,5,705365093
127882,6,4,2,43,0,721486949
128573,6,4,2,43,1,721618021
129035,6,4,2,43,2,721749093
129369,6,4,2,43,3,721880165
129551,6,4,2,43,4,722011237
129705,6,4,2,43,5,722142309
130804,6,4,2,44,0,738264165
131499,6,4,2,44,1,738395237
131956,6,4,2,44,2,738526309
132291,6,4,2,44,3,738657381
132473,6,4,2,44,4,738788453
132629,6,4,2,44,5,738919525
133507,6,4,1,45,0,755008613
134215,6,4,1,45,1,755139685
134781,6,4,1,45,2,755270757
135127,6,4,1,45,3,755401829
136534,6,4,1,46,0,771785829
137246,6,4,1,46,1,771916901
137823,6,4,1,46,2,772047973
138182,6,4,1,46,3,772179045
139674,6,4,1,47,0,788563045
140392,6,4,1,47,1,788694117
140975,6,4,1,47,2,788825189
141336,6,4,1,47,3,788956261
142862,6,4,1,48,0,805340261
143584,6,4,1,48,1,805471333
144161,6,4,1,48,2,805602405
144528,6,4,1,48,3,805733477
146066,6,4,1,49,0,822117477
146779,6,4,1,49,1,822248549
147349,6,4,1,49,2,822379621
147717,6,4,1,49,3,822510693
149209,6,4,1,50,0,838894693
149918,6,4,1,50,1,839025765
150477,6,4,1,50,2,839156837
150844,6,4,1,50,3,839287909
175395,6,4,2,58,2,973407333
175746,6,4,2,58,3,973538405
175923,6,4,2,58,4,973669477
176070,6,4,2,58,5,973800549
176216,6,4,2,58,6,973931621
176369,6,4,2,58,7,974062693
177196,6,4,2,59,0,989922405
177909,6,4,2,59,1,990053477
178385,6,4,2,59,2,990184549
178730,6,4,2,59,3,990315621
178912,6,4,2,59,4,990446693
179062,6,4,2,59,5,990577765
179210,6,4,2,59,6,990708837
179365,6,4,2,59,7,990839909
180177,6,4,2,60,0,1006699621
180891,6,4,2,60,1,1006830693
181372,6,4,2,60,2,1006961765
181729,6,4,2,60,3,1007092837
181916,6,4,2,60,4,1007223909
182071,6,4,2,60,5,1007354981
182223,6,4,2,60,6,1007486053
182381,6,4,2,60,7,1007617125
183188,6,4,2,61,0,1023476837
183883,6,4,2,61,1,1023607909
184361,6,4,2,61,2,1023738981
184716,6,4,2,61,3,1023870053
184906,6,4,2,61,4,1024001125
185062,6,4,2,61,5,1024132197
185216,6,4,2,61,6,1024263269
185373,6,4,2,61,7,1024394341
186179,6,4,2,62,0,1040254053
186857,6,4,2,62,1,1040385125
187135,6,4,1,62,2,1040483429
187486,6,4,1,62,3,1040614501
187861,6,4,2,62,4,1040778341
188027,6,4,2,62,5,1040909413
188190,6,4,2,62,6,1041040485
188349,6,4,2,62,7,1041171557
189162,6,4,2,63,0,1057031269
189838,6,4,2,63,1,1057162341
190112,6,4,1,63,2,1057260645
190457,6,4,1,63,3,1057391717
190827,6,4,2,63,4,1057555557
190984,6,4,2,63,5,1057686629
191142,6,4,2,63,6,1057817701
191299,6,4,2,63,7,1057948773
191882,6,4,1,64,0,1073775717
192570,6,4,1,64,1,1073906789
193123,6,4,1,64,2,1074037861
193487,6,4,1,64,3,1074168933
193874,6,4,2,64,4,1074332773
194030,6,4,2,64,5,1074463845
194190,6,4,2,64,6,1074594917
194346,6,4,2,64,7,1074725989
194930,6,4,1,65,0,1090552933
195611,6,4,1,65,1,1090684005
196162,6,4,1,65,2,1090815077
196534,6,4,1,65,3,1090946149
