0;K2star(1430)+;325;5;-1;1.4256;1;0;1;0;1;0;0.0985;0.62866;(K+pi0)
0;f1(1420);20333;3;-1;1.4263;0;0;0;0;0;0;0.0555;1.12234;(K+K-pi0)
0;K2star(1430)0;315;5;-1;1.4324;1;0;0;0;1;0;0.109;0.63265;(K0pi0)
0;eta(1440);100331;1;-1;1.435;0;0;0;0;0;0;0.065;0.81726;(etapi0pi0)
0;N(1440)+;12212;2;1;1.44;0;1;1;0;0;0;0.35;1.07325;(ppi0)
0;N(1440)0;12112;2;1;1.44;0;1;0;0;0;0;0.35;1.07454;(npi0)
0;rho(1450)+;100213;3;-1;1.465;0;0;1;0;0;0;0.31;0.27455;(pi+pi0)
0;rho(1450)0;100113;3;-1;1.465;0;0;0;0;0;0;0.31;0.27914;(pi+pi-)
0;a0(1450)+;10211;1;-1;1.474;0;0;1;0;0;0;0.265;0.68687;(etapi+)
0;a0(1450)0;10111;1;-1;1.474;0;0;0;0;0;0;0.265;0.68228;(pi0eta)
0;f0(1500);9020221;1;-1;1.507;0;0;0;0;0;0;0.109;0.26996;(2pi0)
0;Lambda(1520);3124;4;1;1.5195;-1;1;0;0;1;0;0.0156;1.32762;(Sigma0pi0)
0;N(1520)0;1214;4;1;1.52;0;1;0;0;0;0;0.12;1.07454;(npi0)
0;N(1520)+;2124;4;1;1.52;0;1;1;0;0;0;0.12;1.07325;(ppi0)
0;f2'(1525);335;5;-1;1.525;0;0;0;0;0;0;0.076;0.98735;(K+K-)
0;Ksi(1530)0;3324;4;1;1.5318;-2;1;0;0;2;0;0.0091;1.44981;(Ksi0pi0)
0;Ksi(1530)-;3314;4;1;1.535;-2;1;-1;0;2;0;0.0099;1.4544;(Ksi0pi-)
0;N(1535)+;22212;2;1;1.535;0;1;1;0;0;0;0.15;1.07325;(ppi0)
0;N(1535)0;22112;2;1;1.535;0;1;0;0;0;0;0.15;1.07454;(npi0)
0;Delta(1600)++;32224;4;1;1.6;0;1;2;0;0;0;0.35;1.07784;(ppi+)
0;Delta(1600)+;32214;4;1;1.6;0;1;1;0;0;0;0.35;1.07325;(ppi0)
0;Delta(1600)0;32114;4;1;1.6;0;1;0;0;0;0;0.35;1.07454;(npi0)
0;Delta(1600)-;31114;4;1;1.6;0;1;-1;0;0;0;0.35;1.07913;(npi-)
0;Lambda(1600);23122;2;1;1.6;-1;1;0;0;1;0;0.15;1.32762;(Sigma0pi0)
0;Delta(1620)++;2222;2;1;1.62;0;1;2;0;0;0;0.15;1.07784;(ppi+)
